country,date,count
VE,2013-06-01T00:00:00.000Z,1
MH,2013-06-01T00:00:00.000Z,2
CO,2013-06-01T00:00:00.000Z,1
BR,2013-06-01T00:00:00.000Z,1
ES,2013-06-01T00:00:00.000Z,1
BY,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
PK,2013-06-01T00:00:00.000Z,1
AE,2013-06-01T00:00:00.000Z,2
TR,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,8
US,2013-06-01T00:00:00.000Z,1
FR,2013-06-01T00:00:00.000Z,6
NL,2013-06-01T00:00:00.000Z,5
JP,2013-06-01T00:00:00.000Z,1
VE,2013-06-01T00:00:00.000Z,2
GY,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,3
GB,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,12
NL,2013-06-01T00:00:00.000Z,2
US,2013-06-01T00:00:00.000Z,15
ES,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,18
NL,2013-06-01T00:00:00.000Z,4
FR,2013-06-01T00:00:00.000Z,5
MX,2013-06-01T00:00:00.000Z,1
ZW,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,10
FR,2013-06-01T00:00:00.000Z,2
HN,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,9
ID,2013-06-01T00:00:00.000Z,2
IN,2013-06-01T00:00:00.000Z,2
CH,2013-06-01T00:00:00.000Z,4
NL,2013-06-01T00:00:00.000Z,4
US,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,2
ES,2013-06-01T00:00:00.000Z,22
JP,2013-06-01T00:00:00.000Z,1
KE,2013-06-01T00:00:00.000Z,34
FR,2013-06-01T00:00:00.000Z,6
GB,2013-06-01T00:00:00.000Z,1
TG,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,4
PT,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,18
IQ,2013-06-01T00:00:00.000Z,6
US,2013-06-01T00:00:00.000Z,9
IT,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,8
FR,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,3
TR,2013-06-01T00:00:00.000Z,3
BR,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,8
RU,2013-06-01T00:00:00.000Z,4
NL,2013-06-01T00:00:00.000Z,3
ID,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,4
ID,2013-06-01T00:00:00.000Z,1
AU,2013-06-01T00:00:00.000Z,2
TR,2013-06-01T00:00:00.000Z,8
IT,2013-06-01T00:00:00.000Z,3
PA,2013-06-01T00:00:00.000Z,2
ID,2013-06-01T00:00:00.000Z,5
DE,2013-06-01T00:00:00.000Z,5
KE,2013-06-01T00:00:00.000Z,5
MY,2013-06-01T00:00:00.000Z,3
GB,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,2
US,2013-06-01T00:00:00.000Z,22
NL,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,27
SG,2013-06-01T00:00:00.000Z,3
NG,2013-06-01T00:00:00.000Z,1
NG,2013-06-01T00:00:00.000Z,1
PH,2013-06-01T00:00:00.000Z,2
CA,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,7
CF,2013-06-01T00:00:00.000Z,12
ZA,2013-06-01T00:00:00.000Z,1
JP,2013-06-01T00:00:00.000Z,1
PK,2013-06-01T00:00:00.000Z,9
SN,2013-06-01T00:00:00.000Z,1
FR,2013-06-01T00:00:00.000Z,1
PH,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
MY,2013-06-01T00:00:00.000Z,6
NO,2013-06-01T00:00:00.000Z,2
MX,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,3
MY,2013-06-01T00:00:00.000Z,14
LB,2013-06-01T00:00:00.000Z,4
RU,2013-06-01T00:00:00.000Z,5
UG,2013-06-01T00:00:00.000Z,7
ID,2013-06-01T00:00:00.000Z,2
DO,2013-06-01T00:00:00.000Z,1
ZA,2013-06-01T00:00:00.000Z,1
GE,2013-06-01T00:00:00.000Z,1
DE,2013-06-01T00:00:00.000Z,2
JP,2013-06-01T00:00:00.000Z,2
BR,2013-06-01T00:00:00.000Z,3
FR,2013-06-01T00:00:00.000Z,2
AL,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
BR,2013-06-01T00:00:00.000Z,2
MX,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,3
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,6
MU,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,11
MY,2013-06-01T00:00:00.000Z,3
CN,2013-06-01T00:00:00.000Z,1
VE,2013-06-01T00:00:00.000Z,10
NL,2013-06-01T00:00:00.000Z,4
NL,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
KP,2013-06-01T00:00:00.000Z,1
IT,2013-06-01T00:00:00.000Z,26
NL,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
CA,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,8
RU,2013-06-01T00:00:00.000Z,1
NO,2013-06-01T00:00:00.000Z,2
IN,2013-06-01T00:00:00.000Z,1
BR,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,1
CM,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,38
BF,2013-06-01T00:00:00.000Z,3
US,2013-06-01T00:00:00.000Z,9
PK,2013-06-01T00:00:00.000Z,1
MG,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,1
PK,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,21
US,2013-06-01T00:00:00.000Z,2
CL,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,2
SJ,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,3
LK,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,3
FR,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,8
FR,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,2
MW,2013-06-01T00:00:00.000Z,1
PA,2013-06-01T00:00:00.000Z,4
SC,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,2
RU,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,4
HT,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
